taxation,Replication.Number.of.Total.Responses,Ticks,Shame,Money,Sentiment,Company.Wins,Successful.Bets,Successful.Bets.Made
90.86382127,1,5001,0.881947519,1965560.353,-35414.9275,-448144.2997,-48684,65496
86.48827248,2,5001,1.074822253,1128014.697,-45936.51632,1134926.965,-55237,71771
92.67519048,3,5001,0.889052715,1604857.196,-46128.39495,288843.8775,-56165,74079
92.97912875,4,5001,0.899042241,7012434.787,-49746.70419,-4464382.691,-67957,92533
90.16947033,5,5001,0.956443077,1757165.685,-43386.95236,-304420.1304,-52913,70997
89.63878409,6,5001,1.028906613,3145147.807,-38680.15473,-1447244.786,-52588,71204
88.7388236,7,5001,1.306791209,1109204.317,-45228.17417,916966.9599,-56462,74312
97.32499658,8,5001,1.122268574,927005.8088,-37235.61886,885340.3294,-48711,64077
80.62140081,9,5001,1.0128826,1081577.767,-41973.26607,668619.6588,-53167,70479
87.84874893,10,5001,0.842191539,772611.6485,-39506.77241,1160827.515,-49098,64526
90.86382127,1,5001,1.07615582,1155844.91,-47956.69832,1207082.834,-64360,85420
86.48827248,2,5001,0.7871298,2737351.515,-48228.64111,-32552.87844,-60909,80601
92.67519048,3,5001,1.391650977,1048118.939,-41536.32524,1083623.421,-49999,65165
92.97912875,4,5001,1.379136248,951213.8894,-41521.39951,521137.8536,-51515,68291
90.16947033,5,5001,1.091013834,956457.3447,-29457.45408,442165.5673,-41295,54761
89.63878409,6,5001,0.703888175,3706544.805,-51081.42182,-975355.0168,-68400,92380
88.7388236,7,5001,0.969478923,4187467.67,-46823.92751,-1862740.468,-65453,88349
97.32499658,8,5001,1.028583325,2232328.989,-38905.98975,213102.3463,-50797,67027
80.62140081,9,5001,1.130817469,2381731.087,-38933.39728,-407121.0043,-57044,75602
87.84874893,10,5001,1.277272701,1628577.27,-44246.91801,1038512.19,-56617,74159
90.86382127,1,5001,1.032263497,1027303.535,-31111.2264,872157.4914,-37506,48784
86.48827248,2,5001,1.085449566,3269532.39,-46809.66879,-1029815.797,-63520,84854
92.67519048,3,5001,0.727243838,1738094.695,-32950.7767,-149163.9916,-44491,59737
92.97912875,4,5001,0.886957626,3935641.774,-43841.51229,-1819205.126,-56133,75243
90.16947033,5,5001,1.365260424,843415.8609,-44405.15162,912000.0537,-55030,72466
89.63878409,6,5001,0.647616023,1743440.997,-37407.17737,-309797.7347,-46644,61888
88.7388236,7,5001,1.07480247,1035964.607,-39469.76586,803431.6896,-48863,65145
97.32499658,8,5001,1.616303948,1006055.553,-49160.57338,1380707.006,-58612,77450
80.62140081,9,5001,0.645319713,1884082.585,-36878.31228,-185272.1852,-44504,59218
87.84874893,10,5001,1.188592257,678936.2807,-39854.26351,1247381.59,-51447,67551
